CATEGORY,Total Households,Households Benefitted,Households Benefitted with 1 Scheme,Households Benefitted with 2 Scheme,Households Benefitted with more than 2 Scheme
RURAL,12149476,10905166,1973663,2323535,6607968
URBAN,4319115,3394228,856573,866451,1671204
