Scheme Name,Value,percent
Ryuthu Bharosa&pensions,662180,0.327787054
Aasara&Sunna Vodi,620616,0.307212375
Ammavodi&Sunna Vodi,288194,0.142659492
YSR Cheyutha&pensions,237188,0.117410909
Ammavodi&Ryuthu Bharosa,211975,0.104930171
