Scheme Name,Value,percent
PENSIONS,1265407,0.426601745
AMMA VODI,798967,0.26935264
RAYTHU BHAROSA,540637,0.182262851
SUNNA VODI,257534,0.086821437
YSR CHEYUTHA,103704,0.034961327
