CATEGORY,Total Households,Households Benefitted,Households Benefitted with 1 Scheme,Households Benefitted with 2 Scheme,Households Benefitted with more than 2 Scheme
RURAL,12149476,10763988,2172647,2380597,6210744
URBAN,4319115,3255313,1056805,848517,1349991
