Scheme Name,Value,percent
Aasara&Sunna Vodi,1714470,0.319947076
Jagananna Vasathi Deevena&Jagananna Vidya Deevena,1659076,0.309609684
Ryuthu Bharosa&pensions,1260219,0.235176692
Ammavodi&Sunna Vodi,481027,0.089767206
Aasara&Ammavodi,243813,0.045499342
