Scheme Name,Value,percent
Aasara&Ammavodi&Sunna Vodi,911441,0.452820637
Aasara&Sunna Vodi&pensions,509896,0.253325702
Aasara&Ryuthu Bharosa&Sunna Vodi,315935,0.156962313
Aasara&Sunna Vodi&YSR Cheyutha,162223,0.080595367
Ryuthu Bharosa&YSR Cheyutha&pensions,113313,0.056295981
