CATEGORY,Total Households,Households Benefitted,Households Benefitted with 1 Scheme,Households Benefitted with 2 Scheme,Households Benefitted with more than 2 Scheme
RURAL,12149476,1912816,1908325,4491,0
URBAN,4319115,1340833,1338884,1949,0
