Scheme Name,Value,percent
Aasara&Ammavodi&Sunna Vodi,1721005,0.526062806
Aasara&Sunna Vodi&YSR Cheyutha,700316,0.214066897
Aasara&Sunna Vodi&pensions,543619,0.166169033
Aasara&Ryuthu Bharosa&Sunna Vodi,190506,0.058232324
Aasara&Kapu Nestham&Sunna Vodi,116036,0.03546894
